variable,"(0,2)","[2,5)","[5,12)",[12+
AlteredMentalStatus,0.764705882,0.522727273,,
Assault,,,,
AxialLoadAnyDoc,0.882352941,,,
axialloadtop,,,,
ChildAbuse,,,,
Clotheslining,,,,
EMSArrival,1,,,
FocalNeuroFindings,,0.659090909,,
GCSbelowThreshold,,,,
GCSnot15,,,,
HEENT,,,,
helmet,,,,
HighriskDiving,,,,
HighriskFall,,,,
HighriskFallDownStairs,,,,
HighriskHanging,,,,
HighriskHitByCar,,,,
HighriskMVC,,0.954545455,,
HighriskOtherMV,,,,
LOC,,,,
Medications,,,,
Musculoskeletal,,,,
Neurological,,,,
PainNeck,,,,
PassRestraint,,,,
PosMidNeckTenderness,0.823529412,,,
Predisposed,0.882352941,,,
Respiratory,,0.863636364,,
SubInj_Ext,,,,
SubInj_Face,,,,
SubInj_Head,,,,
SubInj_TorsoTrunk,,,,
TenderNeck,,,,
Torticollis,,,,
,,0.840909091,,
