,variable,TPR,FPR
0,HighriskDiving,0.0,0.0
1,Clotheslining,0.0,0.0
2,ArrPtIntub,0.0,0.0
3,Predisposed,0.25,0.022222222222222254
4,GCSbelowThreshold,0.3125,0.022222222222222254
5,PtCompPainNeckMove,0.375,0.06666666666666665
6,HighriskHanging,0.5,0.0888888888888889
7,PtCompPainChest,0.5,0.11111111111111116
8,AVPUDetails_AVPU_U,0.5,0.11111111111111116
9,helmet,0.5,0.1333333333333333
10,FocalNeuroFindings,0.5,0.1333333333333333
11,AVPUDetails_AVPU_V,0.6875,0.1333333333333333
12,AVPUDetails_AVPU_nan,0.6875,0.15555555555555556
13,Torticollis,0.6875,0.28888888888888886
14,HighriskMVC,0.875,0.3111111111111111
15,PtCompPainFace,0.9375,0.4222222222222223
16,EMSArrival,0.9375,0.4222222222222223
17,LOC,1.0,0.8444444444444444
18,PosMidNeckTenderness,1.0,0.8666666666666667
19,SubInj_Head,1.0,0.8666666666666667
20,SubInj_Face,1.0,0.8666666666666667
21,SubInj_TorsoTrunk,1.0,0.8666666666666667
22,HighriskHitByCar,1.0,0.8666666666666667
23,HighriskOtherMV,1.0,0.8666666666666667
24,axialloadtop,1.0,0.8666666666666667
25,PtCompPainHead,1.0,0.8666666666666667
26,PtTenderFace,1.0,0.9111111111111111
27,PtTenderHead,1.0,0.9111111111111111
28,PassRestraint,1.0,0.9111111111111111
29,AVPUDetails_AVPU_P,1.0,0.9111111111111111
30,Cardiovascular,1.0,0.9111111111111111
31,Musculoskeletal,1.0,0.9111111111111111
32,Neurological,1.0,0.9111111111111111
33,HighRiskFallDownStairs,1.0,0.9111111111111111
34,AlteredMentalStatus,1.0,0.9111111111111111
35,SubInj_Ext,1.0,0.9111111111111111
36,GCSnot15,1.0,0.9111111111111111
37,PainNeck,1.0,0.9111111111111111
38,TenderNeck,1.0,0.9555555555555556
39,PtTenderNeck,1.0,0.9555555555555556
40,PtCompPainNeck,1.0,0.9555555555555556
41,HighriskFall,1.0,0.9555555555555556
42,AxialLoadAnyDoc,1.0,0.9555555555555556
43,HEENT,1.0,0.9555555555555556
44,Gastrointestinal,1.0,0.9777777777777777
45,Assault,1.0,0.9777777777777777
46,ChildAbuse,1.0,0.9777777777777777
47,NonAmbulatory,1.0,0.9777777777777777
48,AVPUDetails_AVPU_A,1.0,0.9777777777777777
49,PtAmbulatoryPriorArrival,1.0,1.0
50,Respiratory,1.0,1.0
51,Medications,1.0,1.0
