feature,0,1,2,3,4,5,6,7
SFxBasHem_1,0.04493674801982718,0.029485897435470976,0.038669428762412306,0.027537213253308428,0.04184084524639419,0.03357323909572952,0.05435390866552244,0.027226080511107024
SFxBasRhi_0,0.044059478349417,0.046884949954813036,0.05633279168633406,0.06630408000366234,0.05473460685916504,0.04765350152114565,0.041649077714763935,0.05510529505736194
SFxBasOto_0,0.04185286947918748,0.02335767286228222,0.03937818008941901,0.029981012247111864,0.03656949636889868,0.032513852507282726,0.03196760880339831,0.038812920077416935
SFxBas_1.0,0.036136678328274184,0.04234706822879746,0.03307069980727645,0.03331638710135337,0.02860698953841248,0.029049086333491046,0.03105921710928603,0.028615781782639526
SFxBasPer_0,0.03302860172329647,0.020529285358045136,0.016585410843856837,0.03351982537103211,0.022366283579282272,0.028855223840560173,0.016877842557648487,0.017426510565530014
AMSAgitated_92,0.03275708180072493,0.03438673061308299,0.013006719844886258,0.0255251390518974,0.020674421635190114,0.02027892606191679,0.017286108784054274,0.02724966419111544
SFxBas_0.0,0.03181464827438229,0.016175902843471292,0.04598687912325098,0.02374084988865131,0.030543353890078097,0.016764415450277483,0.021176436763719147,0.04628242048639992
AMSOth_0,0.025658379810346705,0.03902425720195451,0.01801903127883564,0.016868425334653835,0.027886026375127878,0.015356182660394005,0.014619142545691122,0.03200833208391212
SFxBasRet_0,0.025021431653809784,0.022423334434472565,0.02716282555788714,0.02908006751886184,0.024192432884590286,0.01660359923137816,0.01580165435195548,0.035901470492292566
SFxPalp_Yes,0.021240705972927404,0.01850680669069594,0.007170418452255346,0.016508585390242997,0.01602190312201189,0.02239719083108973,0.02957001369767747,0.0115662905443295
AgeInMonth,0.019936815843139062,0.011084408837788098,0.024553171749581618,0.026976845467968535,0.017686808217024435,0.022385475536124463,0.011439939353231947,0.021867847666025692
SFxBasOto_92,0.01962817072189447,0.03221411277419235,0.02747275306304359,0.028385707603380723,0.0376784791456021,0.019589955454128147,0.01817926345756281,0.029286997920997357
HemaSize_Large,0.017626619277517137,0.010235747346802328,0.019873503123100655,0.0076832134409914685,0.0024274659017061184,0.019364249537427023,0.027600134424318613,0.010843278363372032
SFxBasRet_92,0.017047506331153553,0.01701211786063458,0.022378036163537347,0.015404511374413366,0.02844637301739137,0.016483612235990194,0.028001474725016254,0.021165407511431016
SFxBasHem_92,0.016325662795149756,0.016007253905297447,0.016094685314553363,0.013429132802019851,0.01822931048763875,0.01341766972898771,0.0271704878870224,0.010186944577902429
SFxPalpDepress_1.0,0.016300538117459285,0.017653218268783848,0.01164207261149968,0.00532244825433257,0.01454972022935522,0.011163276075472685,0.02691723950429395,0.010219847644053282
SFxPalp_No,0.015969723145216407,0.021731536219637096,0.01877917916190254,0.00903127371194978,0.016837145499609532,0.013194916322559898,0.012707705653732415,0.024290037309532816
AMSOth_92,0.015110749592402835,0.02017719888909138,0.019969431224851227,0.025506576334859744,0.027488143070944427,0.02013182730085759,0.026924978036646872,0.020528184939348663
AMS_1.0,0.013952345484185967,0.022766135134746127,0.00887304622342659,0.012965912352611996,0.01736159883265531,0.017354418567093865,0.014431607547639135,0.01704797530055935
SFxPalpDepress_92.0,0.01371698846597461,0.025294239158664165,0.012353955838583968,0.02450305410554314,0.02003101568893798,0.017261088324655182,0.019165459244764208,0.0063363823088953275
AMSRepeat_92,0.013578474148233188,0.014604463362624009,0.014853532485880576,0.014694914488728877,0.018226530436683302,0.00838486612785611,0.01454907530425124,0.027222115707946203
SFxBasPer_92,0.013451178705961709,0.013364269859958899,0.012208155066438192,0.017282675977853417,0.019947529941004908,0.008559528119627367,0.019332893590295053,0.02309231766141849
AMSSleep_92,0.013433871998809625,0.018261688476383073,0.01913622213838705,0.014129375463295558,0.024241671102996812,0.012083292577740197,0.011395599834114119,0.019884228522511475
NeuroDMotor_0,0.012418772764886326,0.0014466028619501306,0.0013210816311326036,0.001108388102256197,0.0038400032403161245,0.0013073039519677127,0.0036432431663216,0.0033768823310952197
VomitNbr_>2 times,0.012326452501061071,0.004411503297454434,0.005654981627665883,0.0022460322043082598,0.007179684042204868,0.005244457331517596,0.0057534689717293865,0.004842175950572023
ClavOcc_1,0.012279305460464905,0.004785109313374342,0.007954654016242681,0.01282226244551,0.00334050550725007,0.011739550292220758,0.005761610899324918,0.00651965195027864
AMSSlow_92,0.011818445818851615,0.01414836756981991,0.008385535698756462,0.0064161756241558465,0.018723954830065198,0.009534937220282817,0.008680120825899295,0.003698675757735277
NeuroD_0.0,0.011770962772269647,0.00024361478777181337,0.004638458815151705,0.0021463052369501984,0.004101050944234003,0.005325473481010501,0.008772550976135472,0.006271649789689751
HemaLoc_Parietal/Temporal,0.011473211522579872,0.00874920140053232,0.0052538085590072715,0.005983000595084898,0.012928087084148355,0.004480145526335214,0.017744484878804978,0.008411482063017523
ClavPar_1,0.010498316802398351,0.00366563694836085,0.014667942227075615,0.01225954037998045,0.005938632644004174,0.005704381805949554,0.0014748985108761679,0.012815865147009204
