,rule,coef
5,NeuroDOth_92,-0.00913
162,SFxBasRhi_92,-0.0
204,NeuroDSensory_92,-0.1101
196,SFxPalpDepress_92.0,-8e-05
193,SFxBasPer_92,-0.10798
190,NeuroDMotor_92,-0.00223
188,NeuroDCranial_92,-0.0069
184,NeuroDReflex_92,-0.00457
172,SFxBasOto_92,-0.00901
167,SFxBasRet_92,-0.00518
160,FontBulg_0.0,-0.00444
7,SFxPalp_No,-0.0
140,Drugs_0.0,-0.00228
128,Seiz_0.0,-0.00446
126,SFxBas_0.0,-0.01716
118,SFxBasHem_92,-0.00222
106,Sedated_0.0,-0.00446
67,NeuroD_0.0,-0.00227
26,SeizLen_Not applicable,-0.0
10,SeizOccur_Not applicable,-0.00457
208,Intubated_0.0,-0.0
