,rule,coef
2,AMSRepeat_92,-0.23995
125,AMSAgitated_92,-0.19792
203,ActNorm_1.0,-0.25145
197,AMSSlow_92,-0.20442
173,VomitStart_Not applicable,-0.62801
170,HemaLoc_Parietal/Temporal,0.06906
162,ClavFace_92,-0.00064
18,ClavTem_92,-0.01662
140,AMSOth_92,-0.14069
134,High_impact_InjSev_High,0.8187
148,HA_verb_1.0,0.26035
105,ClavFace_0,0.21577
46,ClavFro_92,-0.0152
45,LocLen_Not applicable,-0.77668
41,ClavOcc_92,-0.24078
33,LOCSeparate_No,-0.07857
25,ClavNeck_92,-0.00086
24,ClavFro_0,0.08109
23,AMSSleep_92,-0.28015
221,AMSRepeat_1 <= 0.5 and SeizLen_5-15 min <= 0.5 and SFxBasPer_0 <= 0.5,-0.10268
223,AMSAgitated_1 <= 0.5 and SFxBasHem_1 <= 0.5,-0.33755
222,SFxPalpDepress_1.0 <= 0.5 and SFxBasPer_1 <= 0.5 and SFxBasHem_1 <= 0.5 and SFxPalp_Unclear <= 0.5,-1.14515
217,SFxPalpDepress_92.0 > 0.5 and AgeInMonth > 1.5 and SFxBasHem_92 > 0.5,-1.02121
219,AMSAgitated_1 <= 0.5 and SFxPalpDepress_92.0 > 0.5 and SeizLen_5-15 min <= 0.5 and LocLen_1-5 min <= 0.5,-0.22584
220,HemaSize_Large <= 0.5,-0.11659
218,HemaLoc_Parietal/Temporal <= 0.5,-0.63005
