,rule,coef
5,NeuroDOth_92,-0.04725
162,SFxBasRhi_92,-0.02022
208,Intubated_0.0,-0.06416
204,NeuroDSensory_92,-0.06545
196,SFxPalpDepress_92.0,-0.01194
193,SFxBasPer_92,-0.17669
190,NeuroDMotor_92,-0.00011
188,NeuroDCranial_92,-0.06448
184,NeuroDReflex_92,-0.0478
172,SFxBasOto_92,-0.11023
167,SFxBasRet_92,-0.09394
160,FontBulg_0.0,-0.04505
7,SFxPalp_No,-0.00267
140,Drugs_0.0,-0.06072
128,Seiz_0.0,-0.02913
126,SFxBas_0.0,-0.05819
118,SFxBasHem_92,-0.0405
106,Sedated_0.0,-0.00013
77,Paralyzed_0.0,-0.03143
67,NeuroD_0.0,-0.01387
26,SeizLen_Not applicable,-0.07168
10,SeizOccur_Not applicable,-0.04202
217,SFxBasHem_1 <= 0.5,-0.09356
